Titulo;Autor;Carrera;Institucion;Tipo;Fecha;Estado;Enlace
Descripción de zonas mineralizadas metálicas en testigos de perforación mediante visión artificial y modelos de lenguaje : Hacia un logueo geológico asistido;Dálember Gonzalo Vallejo Gaibor;Geología;Universidad Central del Ecuador;Pregrado;2027;In progress;#
Estimación de recursos y reservas minables mediante unidades selectivas basadas en bloques y pentaedros: influencia en el diseño de explotación subterráneo;Correa Paredes, Joseph Adrián;Ingeniería de Minas;Universidad Central del Ecuador;Pregrado;2027;In progress;#
Identificación y medida de minerales en secciones delgadas de rocas ígneas intrusivas mediante Deep Learning;Paucar Ayala, Stalyn David;Ingeniería en Geología;Universidad Central del Ecuador;Pregrado;2025;Finished;https://www.dspace.uce.edu.ec/handle/25000/36786
Estimación de recursos minerales mediante geoestadística y machine learning;Farinango Taipe, Wilmer Omar;Ingeniería de Minas;Universidad Central del Ecuador;Pregrado;2025;Finished;https://www.dspace.uce.edu.ec/handle/25000/36770
Sistema de detección y alerta de residuos sólidos mediante Inteligencia Artificial;Zambrano Oñate, María Belén;Ingeniería Ambiental;Universidad Central del Ecuador;Pregrado;2023;Finished;https://www.dspace.uce.edu.ec/handle/25000/32376
Generación y evaluación de la cartografía ambiental para la plantación florícola FIORI DI MIWI, ubicada en el sector de Convalecencia, parroquia Juan Montalvo, Cayambe, Ecuador, mediante la aplicación de la información publicada por la SENPLADES - CONAGE;Díaz Narváez, Christian Andrés;Maestría en Calidad, Seguridad y Ambiente;Instituto Superior de Investigación y Posgrado, Universidad Central del Ecuador;Posgrado;2020;Finished;http://www.dspace.uce.edu.ec/handle/25000/21663
